mut 678	1.73671e-05	0.999872
mut 679	1.73671e-05	0.999889
mut 680	1.73671e-05	0.999906
mut 681	0	0.999906
mut 682	6.67967e-06	0.999913
mut 683	6.67967e-06	0.99992
mut 684	6.67967e-06	0.999927
mut 685	6.67967e-06	0.999933
mut 686	6.67967e-06	0.99994
mut 687	0	0.99994
mut 688	0	0.99994
mut 689	0	0.99994
mut 690	0	0.99994
mut 691	0	0.99994
mut 692	1.20234e-05	0.999952
mut 693	1.20234e-05	0.999964
mut 694	1.20234e-05	0.999976
mut 695	1.20234e-05	0.999988
mut 696	1.20234e-05	1
mut 697	0	1
mut 698	0	1
mut 699	0	1
mut 700	0	1
mut 701	0	1
mut 702	0	1
mut 703	0	1
mut 704	0	1
mut 705	0	1
mut 706	0	1
mut 707	0	1
mut 708	0	1
mut 709	0	1
mut 710	0	1
mut 711	0	1
mut 712	0	1
mut 713	0	1
mut 714	0	1
mut 715	0	1
mut 716	0	1
mut 717	0	1
mut 718	0	1
mut 719	0	1
mut 720	0	1
mut 721	0	1
mut 722	0	1
mut 723	0	1
mut 724	0	1
mut 725	0	1
mut 726	0	1
mut 727	0	1
mut 728	0	1
mut 729	0	1
mut 730	0	1
mut 731	0	1
mut 732	0	1
mut 733	0	1
mut 734	0	1
mut 735	0	1
mut 736	0	1
mut 737	0	1
mut 738	0	1
mut 739	0	1
mut 740	0	1
mut 741	0	1
mut 742	0	1
mut 743	0	1
mut 744	0	1
mut 745	0	1
mut 746	0	1
mut 747	0	1
mut 748	0	1
mut 749	0	1
mut 750	0	1
mut 751	0	1
mut 752	0	1
mut 753	0	1
mut 754	0	1
mut 755	0	1
mut 756	0	1
mut 757	0	1
mut 758	0	1
mut 759	0	1
mut 760	0	1
mut 761	0	1
mut 762	0	1
mut 763	0	1
mut 764	0	1
mut 765	0	1
mut 766	0	1
mut 767	0	1
mut 768	0	1
mut 769	0	1
mut 770	0	1
mut 771	0	1
mut 772	0	1
mut 773	0	1
mut 774	0	1
mut 775	0	1
mut 776	0	1
mut 777	0	1
mut 778	0	1
mut 779	0	1
mut 780	0	1
mut 781	0	1
mut 782	0	1
mut 783	0	1
mut 784	0	1
mut 785	0	1
mut 786	0	1
mut 787	0	1
mut 788	0	1
mut 789	0	1
mut 790	0	1
mut 791	0	1
mut 792	0	1
mut 793	0	1
mut 794	0	1
mut 795	0	1
mut 796	0	1
mut 797	0	1
mut 798	0	1
mut 799	0	1
mut 800	0	1
