"year","week","date","unit","recent","origin","value"
"2023","9","2023-02-22","adm","rall","oall","206737"
"2023","10","2023-03-01","adm","rall","oall","228140"
"2023","11","2023-03-08","adm","rall","oall","223407"
"2023","12","2023-03-15","adm","rall","oall","145366"
"2023","13","2023-03-22","adm","rall","oall","208922"
"2023","14","2023-03-29","adm","rall","oall","205808"
"2023","15","2023-04-05","adm","rall","oall","340517"
"2023","16","2023-04-12","adm","rall","oall","310276"
"2023","17","2023-04-19","adm","rall","oall","220651"
"2023","18","2023-04-26","adm","rall","oall","188176"
"2023","19","2023-05-03","adm","rall","oall","152970"
"2023","20","2023-05-10","adm","rall","oall","161581"
"2023","21","2023-05-17","adm","rall","oall","243920"
"2023","22","2023-05-24","adm","rall","oall","118778"
"2023","23","2023-05-31","adm","rall","oall","92540"
"2023","24","2023-06-07","adm","rall","oall","98364"
"2023","25","2023-06-14","adm","rall","oall","82752"
"2023","26","2023-06-21","adm","rall","oall","114917"
"2023","27","2023-06-28","adm","rall","oall","171656"
"2023","28","2023-07-05","adm","rall","oall","120159"
"2023","29","2023-07-12","adm","rall","oall","155488"
"2023","30","2023-07-19","adm","rall","oall","356825"
"2023","31","2023-07-26","adm","rall","oall","370190"
"2023","32","2023-08-02","adm","rall","oall","397382"
"2023","33","2023-08-09","adm","rall","oall","199321"
"2023","34","2023-08-16","adm","rall","oall","144603"
"2023","35","2023-08-23","adm","rall","oall","222900"
"2023","36","2023-08-30","adm","rall","oall","290794"
"2023","37","2023-09-06","adm","rall","oall","98412"
"2023","38","2023-09-13","adm","rall","oall","142048"
"2023","39","2023-09-20","adm","rall","oall","139798"
"2023","40","2023-09-27","adm","rall","oall","127314"
"2023","41","2023-10-04","adm","rall","oall","120036"
"2023","42","2023-10-11","adm","rall","oall","168547"
"2023","43","2023-10-18","adm","rall","oall","195365"
"2023","44","2023-10-25","adm","rall","oall","199017"
"2023","45","2023-11-01","adm","rall","oall","196057"
"2023","46","2023-11-08","adm","rall","oall","184534"
"2023","47","2023-11-15","adm","rall","oall","176778"
"2023","48","2023-11-22","adm","rall","oall","184671"
"2023","49","2023-11-29","adm","rall","oall","173591"
"2023","50","2023-12-06","adm","rall","oall","199256"
"2023","51","2023-12-13","adm","rall","oall","178580"
"2023","52","2023-12-20","adm","rall","oall","249524"
"2024","1","2023-12-27","adm","rall","oall","393293"
"2024","2","2024-01-03","adm","rall","oall","284490"
"2024","3","2024-01-10","adm","rall","oall","172008"
"2024","4","2024-01-17","adm","rall","oall","182528"
"2024","5","2024-01-24","adm","rall","oall","189680"
"2024","6","2024-01-31","adm","rall","oall","183106"
"2024","7","2024-02-07","adm","rall","oall","215526"
"2024","8","2024-02-14","adm","rall","oall","197094"
"2024","9","2024-02-21","adm","rall","oall","186542"
"2024","10","2024-02-28","adm","rall","oall","239579"
"2024","11","2024-03-06","adm","rall","oall","219245"
"2024","12","2024-03-13","adm","rall","oall","203210"
"2024","13","2024-03-20","adm","rall","oall","200833"
"2024","14","2024-03-27","adm","rall","oall","268584"
"2024","15","2024-04-03","adm","rall","oall","164378"
"2024","16","2024-04-10","adm","rall","oall","136844"
"2024","17","2024-04-17","adm","rall","oall","209241"
"2024","18","2024-04-24","adm","rall","oall","154651"
"2024","19","2024-05-01","adm","rall","oall","153262"
"2024","20","2024-05-08","adm","rall","oall","125386"
"2024","21","2024-05-15","adm","rall","oall","156472"
"2024","22","2024-05-22","adm","rall","oall","128732"
"2024","23","2024-05-29","adm","rall","oall","205123"
"2024","24","2024-06-05","adm","rall","oall","154585"
"2024","25","2024-06-12","adm","rall","oall","119434"
"2024","26","2024-06-19","adm","rall","oall","207606"
"2024","27","2024-06-26","adm","rall","oall","184866"
"2024","28","2024-07-03","adm","rall","oall","191895"
